day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;0;10;10;0;4990;10
7;3;10;13;0;4987;13
8;7;10;17;0;4983;17
9;10;10;20;0;4980;20
10;16;10;26;0;4974;26
11;20;10;30;0;4970;30
12;19;13;32;0;4968;32
13;20;17;37;0;4963;37
14;21;10;31;10;4959;41
15;17;16;33;10;4957;43
16;19;20;39;10;4951;49
17;23;22;45;10;4945;55
18;26;27;53;10;4937;63
19;29;31;60;10;4930;70
20;36;33;69;10;4921;79
21;45;36;81;13;4906;94
22;54;38;92;17;4891;109
23;65;43;108;20;4872;128
24;77;44;121;26;4853;147
25;82;49;131;30;4839;161
26;90;62;152;32;4816;184
27;90;72;162;37;4801;199
28;97;87;184;41;4775;225
29;113;104;217;43;4740;260
30;131;112;243;49;4708;292
31;153;129;282;55;4663;337
32;192;136;328;63;4609;391
33;208;155;363;70;4567;433
34;230;181;411;79;4510;490
35;254;198;452;94;4454;546
36;287;228;515;109;4376;624
37;314;263;577;128;4295;705
38;366;286;652;147;4201;799
39;397;329;726;161;4113;887
40;447;362;809;184;4007;993
41;480;425;905;199;3896;1104
42;545;480;1025;225;3750;1250
43;586;539;1125;260;3615;1385
44;647;595;1242;292;3466;1534
45;675;656;1331;337;3332;1668
46;721;713;1434;391;3175;1825
47;736;817;1553;433;3014;1986
48;794;895;1689;490;2821;2179
49;826;988;1814;546;2640;2360
50;871;1044;1915;624;2461;2539
51;912;1120;2032;705;2263;2737
52;937;1187;2124;799;2077;2923
53;914;1292;2206;887;1907;3093
54;919;1367;2286;993;1721;3279
55;891;1435;2326;1104;1570;3430
56;838;1487;2325;1250;1425;3575
57;795;1538;2333;1385;1282;3718
58;783;1559;2342;1534;1124;3876
59;726;1611;2337;1668;995;4005
60;690;1605;2295;1825;880;4120
61;647;1589;2236;1986;778;4222
62;595;1539;2134;2179;687;4313
63;507;1516;2023;2360;617;4383
64;434;1466;1900;2539;561;4439
65;381;1383;1764;2737;499;4501
66;329;1299;1628;2923;449;4551
67;287;1220;1507;3093;400;4600
68;249;1104;1353;3279;368;4632
69;225;1009;1234;3430;336;4664
70;193;926;1119;3575;306;4694
71;160;833;993;3718;289;4711
72;121;724;845;3876;279;4721
73;101;627;728;4005;267;4733
74;79;544;623;4120;257;4743
75;57;472;529;4222;249;4751
76;47;398;445;4313;242;4758
77;45;338;383;4383;234;4766
78;46;294;340;4439;221;4779
79;43;242;285;4501;214;4786
80;39;200;239;4551;210;4790
81;35;158;193;4600;207;4793
82;31;134;165;4632;203;4797
83;20;115;135;4664;201;4799
84;19;92;111;4694;195;4805
85;16;79;95;4711;194;4806
86;14;72;86;4721;193;4807
87;10;64;74;4733;193;4807
88;9;56;65;4743;192;4808
89;4;54;58;4751;191;4809
90;6;48;54;4758;188;4812
91;6;41;47;4766;187;4813
92;8;28;36;4779;185;4815
93;8;22;30;4786;184;4816
94;7;19;26;4790;184;4816
95;4;19;23;4793;184;4816
96;3;16;19;4797;184;4816
97;2;16;18;4799;183;4817
98;1;11;12;4805;183;4817
99;1;10;11;4806;183;4817
100;1;9;10;4807;183;4817
101;1;9;10;4807;183;4817
102;1;9;10;4808;182;4818
103;1;8;9;4809;182;4818
104;1;5;6;4812;182;4818
105;1;4;5;4813;182;4818
106;2;2;4;4815;181;4819
