day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;4;10;14;0;4986;14
7;10;10;20;0;4980;20
8;18;10;28;0;4972;28
9;24;10;34;0;4966;34
10;26;10;36;0;4964;36
11;29;14;43;0;4957;43
12;28;20;48;0;4952;48
13;25;28;53;0;4947;53
14;28;24;52;10;4938;62
15;32;26;58;10;4932;68
16;32;33;65;10;4925;75
17;34;38;72;10;4918;82
18;45;43;88;10;4902;98
19;55;52;107;10;4883;117
20;71;54;125;14;4861;139
21;81;55;136;20;4844;156
22;97;54;151;28;4821;179
23;97;64;161;34;4805;195
24;97;81;178;36;4786;214
25;107;96;203;43;4754;246
26;137;108;245;48;4707;293
27;146;126;272;53;4675;325
28;178;133;311;62;4627;373
29;207;146;353;68;4579;421
30;216;171;387;75;4538;462
31;241;211;452;82;4466;534
32;279;227;506;98;4396;604
33;315;256;571;117;4312;688
34;347;282;629;139;4232;768
35;400;306;706;156;4138;862
36;418;355;773;179;4048;952
37;451;409;860;195;3945;1055
38;488;474;962;214;3824;1176
39;537;522;1059;246;3695;1305
40;594;569;1163;293;3544;1456
41;656;627;1283;325;3392;1608
42;724;682;1406;373;3221;1779
43;774;755;1529;421;3050;1950
44;814;843;1657;462;2881;2119
45;844;922;1766;534;2700;2300
46;861;1004;1865;604;2531;2469
47;887;1091;1978;688;2334;2666
48;907;1182;2089;768;2143;2857
49;925;1257;2182;862;1956;3044
50;907;1348;2255;952;1793;3207
51;924;1414;2338;1055;1607;3393
52;886;1490;2376;1176;1448;3552
53;864;1552;2416;1305;1279;3721
54;803;1588;2391;1456;1153;3847
55;799;1599;2398;1608;994;4006
56;735;1614;2349;1779;872;4128
57;674;1602;2276;1950;774;4226
58;578;1602;2180;2119;701;4299
59;528;1547;2075;2300;625;4375
60;444;1537;1981;2469;550;4450
61;374;1462;1836;2666;498;4502
62;330;1369;1699;2857;444;4556
63;293;1255;1548;3044;408;4592
64;263;1168;1431;3207;362;4638
65;220;1057;1277;3393;330;4670
66;193;950;1143;3552;305;4695
67;163;835;998;3721;281;4719
68;146;745;891;3847;262;4738
69;111;632;743;4006;251;4749
70;90;542;632;4128;240;4760
71;75;469;544;4226;230;4770
72;64;420;484;4299;217;4783
73;61;363;424;4375;201;4799
74;58;299;357;4450;193;4807
75;53;258;311;4502;187;4813
76;45;214;259;4556;185;4815
77;36;191;227;4592;181;4819
78;21;161;182;4638;180;4820
79;17;137;154;4670;176;4824
80;11;118;129;4695;176;4824
81;10;96;106;4719;175;4825
82;8;81;89;4738;173;4827
83;8;71;79;4749;172;4828
84;4;64;68;4760;172;4828
85;6;54;60;4770;170;4830
86;5;42;47;4783;170;4830
87;4;28;32;4799;169;4831
88;3;21;24;4807;169;4831
89;3;15;18;4813;169;4831
90;1;15;16;4815;169;4831
91;1;11;12;4819;169;4831
92;0;11;11;4820;169;4831
93;0;7;7;4824;169;4831
94;0;7;7;4824;169;4831
95;0;6;6;4825;169;4831
96;0;4;4;4827;169;4831
