day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;6;10;16;0;4984;16
7;7;10;17;0;4983;17
8;11;10;21;0;4979;21
9;13;10;23;0;4977;23
10;16;10;26;0;4974;26
11;13;16;29;0;4971;29
12;23;17;40;0;4960;40
13;24;21;45;0;4955;45
14;30;13;43;10;4947;53
15;32;16;48;10;4942;58
16;35;19;54;10;4936;64
17;34;30;64;10;4926;74
18;39;35;74;10;4916;84
19;47;43;90;10;4900;100
20;54;42;96;16;4888;112
21;64;47;111;17;4872;128
22;71;53;124;21;4855;145
23;80;61;141;23;4836;164
24;90;74;164;26;4810;190
25;102;83;185;29;4786;214
26;106;88;194;40;4766;234
27;119;100;219;45;4736;264
28;141;111;252;53;4695;305
29;148;132;280;58;4662;338
30;170;150;320;64;4616;384
31;198;160;358;74;4568;432
32;229;180;409;84;4507;493
33;249;205;454;100;4446;554
34;287;226;513;112;4375;625
35;308;256;564;128;4308;692
36;333;287;620;145;4235;765
37;351;329;680;164;4156;844
38;397;364;761;190;4049;951
39;442;411;853;214;3933;1067
40;488;458;946;234;3820;1180
41;540;501;1041;264;3695;1305
42;597;539;1136;305;3559;1441
43;630;613;1243;338;3419;1581
44;664;683;1347;384;3269;1731
45;694;748;1442;432;3126;1874
46;736;812;1548;493;2959;2041
47;771;887;1658;554;2788;2212
48;815;956;1771;625;2604;2396
49;823;1039;1862;692;2446;2554
50;860;1109;1969;765;2266;2734
51;868;1197;2065;844;2091;2909
52;902;1261;2163;951;1886;3114
53;884;1329;2213;1067;1720;3280
54;895;1374;2269;1180;1551;3449
55;874;1429;2303;1305;1392;3608
56;837;1468;2305;1441;1254;3746
57;759;1533;2292;1581;1127;3873
58;710;1549;2259;1731;1010;3990
59;664;1575;2239;1874;887;4113
60;587;1567;2154;2041;805;4195
61;539;1534;2073;2212;715;4285
62;497;1477;1974;2396;630;4370
63;460;1436;1896;2554;550;4450
64;406;1379;1785;2734;481;4519
65;373;1286;1659;2909;432;4568
66;325;1171;1496;3114;390;4610
67;273;1090;1363;3280;357;4643
68;223;1001;1224;3449;327;4673
69;170;911;1081;3608;311;4689
70;136;822;958;3746;296;4704
71;117;737;854;3873;273;4727
72;105;653;758;3990;252;4748
73;88;560;648;4113;239;4761
74;85;494;579;4195;226;4774
75;79;419;498;4285;217;4783
76;59;357;416;4370;214;4786
77;42;298;340;4450;210;4790
78;34;242;276;4519;205;4795
79;24;206;230;4568;202;4798
80;21;173;194;4610;196;4804
81;22;143;165;4643;192;4808
82;19;117;136;4673;191;4809
83;15;106;121;4689;190;4810
84;12;94;106;4704;190;4810
85;7;77;84;4727;189;4811
86;5;60;65;4748;187;4813
87;6;48;54;4761;185;4815
88;5;36;41;4774;185;4815
89;5;27;32;4783;185;4815
90;4;25;29;4786;185;4815
91;2;23;25;4790;185;4815
92;0;20;20;4795;185;4815
93;0;17;17;4798;185;4815
94;0;11;11;4804;185;4815
95;0;7;7;4808;185;4815
96;0;6;6;4809;185;4815
97;0;5;5;4810;185;4815
98;0;5;5;4810;185;4815
99;0;4;4;4811;185;4815
