day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;5;10;15;0;4985;15
7;14;10;24;0;4976;24
8;18;10;28;0;4972;28
9;24;10;34;0;4966;34
10;30;10;40;0;4960;40
11;30;15;45;0;4955;45
12;26;24;50;0;4950;50
13;33;28;61;0;4939;61
14;36;24;60;10;4930;70
15;37;30;67;10;4923;77
16;39;35;74;10;4916;84
17;44;40;84;10;4906;94
18;43;51;94;10;4896;104
19;50;60;110;10;4880;120
20;66;62;128;15;4857;143
21;79;60;139;24;4837;163
22;81;66;147;28;4825;175
23;84;70;154;34;4812;188
24;95;80;175;40;4785;215
25;95;98;193;45;4762;238
26;100;113;213;50;4737;263
27;122;114;236;61;4703;297
28;144;118;262;70;4668;332
29;150;138;288;77;4635;365
30;174;154;328;84;4588;412
31;210;169;379;94;4527;473
32;221;193;414;104;4482;518
33;236;212;448;120;4432;568
34;271;222;493;143;4364;636
35;303;249;552;163;4285;715
36;323;298;621;175;4204;796
37;363;330;693;188;4119;881
38;407;353;760;215;4025;975
39;434;398;832;238;3930;1070
40;467;452;919;263;3818;1182
41;516;499;1015;297;3688;1312
42;545;549;1094;332;3574;1426
43;594;610;1204;365;3431;1569
44;643;658;1301;412;3287;1713
45;680;709;1389;473;3138;1862
46;720;794;1514;518;2968;2032
47;774;858;1632;568;2800;2200
48;794;933;1727;636;2637;2363
49;830;998;1828;715;2457;2543
50;853;1066;1919;796;2285;2715
51;823;1151;1974;881;2145;2855
52;813;1225;2038;975;1987;3013
53;803;1293;2096;1070;1834;3166
54;787;1361;2148;1182;1670;3330
55;774;1403;2177;1312;1511;3489
56;782;1429;2211;1426;1363;3637
57;751;1444;2195;1569;1236;3764
58;705;1453;2158;1713;1129;3871
59;635;1468;2103;1862;1035;3965
60;577;1457;2034;2032;934;4066
61;522;1437;1959;2200;841;4159
62;468;1401;1869;2363;768;4232
63;428;1328;1756;2543;701;4299
64;394;1250;1644;2715;641;4359
65;349;1211;1560;2855;585;4415
66;293;1146;1439;3013;548;4452
67;254;1066;1320;3166;514;4486
68;226;969;1195;3330;475;4525
69;199;870;1069;3489;442;4558
70;168;778;946;3637;417;4583
71;151;688;839;3764;397;4603
72;140;615;755;3871;374;4626
73;122;560;682;3965;353;4647
74;98;492;590;4066;344;4656
75;86;424;510;4159;331;4669
76;72;371;443;4232;325;4675
77;57;327;384;4299;317;4683
78;45;288;333;4359;308;4692
79;42;241;283;4415;302;4698
80;31;217;248;4452;300;4700
81;29;189;218;4486;296;4704
82;28;158;186;4525;289;4711
83;24;134;158;4558;284;4716
84;24;115;139;4583;278;4722
85;24;97;121;4603;276;4724
86;23;78;101;4626;273;4727
87;18;64;82;4647;271;4729
88;15;60;75;4656;269;4731
89;11;53;64;4669;267;4733
90;11;49;60;4675;265;4735
91;10;44;54;4683;263;4737
92;9;37;46;4692;262;4738
93;7;33;40;4698;262;4738
94;7;33;40;4700;260;4740
95;5;31;36;4704;260;4740
96;6;26;32;4711;257;4743
97;6;22;28;4716;256;4744
98;6;16;22;4722;256;4744
99;5;16;21;4724;255;4745
100;5;13;18;4727;255;4745
101;2;14;16;4729;255;4745
102;1;13;14;4731;255;4745
103;1;11;12;4733;255;4745
104;1;10;11;4735;254;4746
105;1;8;9;4737;254;4746
106;2;7;9;4738;253;4747
107;2;7;9;4738;253;4747
108;2;5;7;4740;253;4747
109;1;6;7;4740;253;4747
110;1;3;4;4743;253;4747
