day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;3;10;13;0;4987;13
7;5;10;15;0;4985;15
8;8;10;18;0;4982;18
9;9;10;19;0;4981;19
10;13;10;23;0;4977;23
11;13;13;26;0;4974;26
12;17;15;32;0;4968;32
13;18;18;36;0;4964;36
14;21;9;30;10;4960;40
15;19;13;32;10;4958;42
16;18;16;34;10;4956;44
17;18;22;40;10;4950;50
18;19;26;45;10;4945;55
19;20;30;50;10;4940;60
20;24;29;53;13;4934;66
21;31;29;60;15;4925;75
22;33;32;65;18;4917;83
23;36;36;72;19;4909;91
24;37;37;74;23;4903;97
25;41;40;81;26;4893;107
26;42;43;85;32;4883;117
27;45;47;92;36;4872;128
28;54;51;105;40;4855;145
29;72;55;127;42;4831;169
30;85;63;148;44;4808;192
31;96;67;163;50;4787;213
32;111;73;184;55;4761;239
33;109;85;194;60;4746;254
34;107;103;210;66;4724;276
35;126;117;243;75;4682;318
36;144;130;274;83;4643;357
37;161;148;309;91;4600;400
38;191;157;348;97;4555;445
39;216;169;385;107;4508;492
40;226;201;427;117;4456;544
41;257;229;486;128;4386;614
42;271;255;526;145;4329;671
43;290;276;566;169;4265;735
44;321;300;621;192;4187;813
45;338;331;669;213;4118;882
46;362;375;737;239;4024;976
47;408;417;825;254;3921;1079
48;454;459;913;276;3811;1189
49;485;495;980;318;3702;1298
50;537;525;1062;357;3581;1419
51;566;576;1142;400;3458;1542
52;587;634;1221;445;3334;1666
53;596;697;1293;492;3215;1785
54;614;754;1368;544;3088;1912
55;641;805;1446;614;2940;2060
56;662;871;1533;671;2796;2204
57;680;931;1611;735;2654;2346
58;707;972;1679;813;2508;2492
59;718;1030;1748;882;2370;2630
60;717;1084;1801;976;2223;2777
61;726;1125;1851;1079;2070;2930
62;720;1157;1877;1189;1934;3066
63;703;1194;1897;1298;1805;3195
64;682;1211;1893;1419;1688;3312
65;658;1235;1893;1542;1565;3435
66;622;1264;1886;1666;1448;3552
67;603;1281;1884;1785;1331;3669
68;596;1283;1879;1912;1209;3791
69;582;1252;1834;2060;1106;3894
70;550;1231;1781;2204;1015;3985
71;516;1206;1722;2346;932;4068
72;475;1177;1652;2492;856;4144
73;410;1161;1571;2630;799;4201
74;365;1117;1482;2777;741;4259
75;329;1055;1384;2930;686;4314
76;296;1002;1298;3066;636;4364
77;249;949;1198;3195;607;4393
78;215;889;1104;3312;584;4416
79;193;824;1017;3435;548;4452
80;161;762;923;3552;525;4475
81;134;695;829;3669;502;4498
82;129;602;731;3791;478;4522
83;125;522;647;3894;459;4541
84;97;467;564;3985;451;4549
85;87;407;494;4068;438;4562
86;75;354;429;4144;427;4573
87;59;321;380;4201;419;4581
88;44;282;326;4259;415;4585
89;43;235;278;4314;408;4592
90;37;198;235;4364;401;4599
91;29;180;209;4393;398;4602
92;23;165;188;4416;396;4604
93;25;133;158;4452;390;4610
94;21;117;138;4475;387;4613
95;14;101;115;4498;387;4613
96;11;80;91;4522;387;4613
97;11;63;74;4541;385;4615
98;7;61;68;4549;383;4617
99;4;51;55;4562;383;4617
100;4;40;44;4573;383;4617
101;4;32;36;4581;383;4617
102;3;30;33;4585;382;4618
103;1;25;26;4592;382;4618
104;1;18;19;4599;382;4618
105;1;15;16;4602;382;4618
106;1;13;14;4604;382;4618
107;0;8;8;4610;382;4618
108;0;5;5;4613;382;4618
109;0;5;5;4613;382;4618
110;2;5;7;4613;380;4620
111;2;3;5;4615;380;4620
112;2;1;3;4617;380;4620
