day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;4;10;14;0;4986;14
7;8;10;18;0;4982;18
8;10;10;20;0;4980;20
9;12;10;22;0;4978;22
10;14;10;24;0;4976;24
11;12;14;26;0;4974;26
12;11;18;29;0;4971;29
13;12;20;32;0;4968;32
14;15;12;27;10;4963;37
15;20;14;34;10;4956;44
16;21;16;37;10;4953;47
17;22;19;41;10;4949;51
18;29;22;51;10;4939;61
19;28;27;55;10;4935;65
20;31;30;61;14;4925;75
21;39;29;68;18;4914;86
22;42;31;73;20;4907;93
23;43;39;82;22;4896;104
24;51;41;92;24;4884;116
25;50;49;99;26;4875;125
26;59;57;116;29;4855;145
27;65;61;126;32;4842;158
28;64;67;131;37;4832;168
29;77;72;149;44;4807;193
30;85;78;163;47;4790;210
31;93;94;187;51;4762;238
32;111;97;208;61;4731;269
33;124;103;227;65;4708;292
34;126;118;244;75;4681;319
35;141;124;265;86;4649;351
36;154;145;299;93;4608;392
37;155;165;320;104;4576;424
38;182;176;358;116;4526;474
39;210;194;404;125;4471;529
40;222;206;428;145;4427;573
41;231;234;465;158;4377;623
42;281;256;537;168;4295;705
43;297;281;578;193;4229;771
44;308;319;627;210;4163;837
45;343;335;678;238;4084;916
46;384;354;738;269;3993;1007
47;404;413;817;292;3891;1109
48;441;452;893;319;3788;1212
49;486;486;972;351;3677;1323
50;516;524;1040;392;3568;1432
51;553;583;1136;424;3440;1560
52;572;635;1207;474;3319;1681
53;606;683;1289;529;3182;1818
54;612;750;1362;573;3065;1935
55;616;809;1425;623;2952;2048
56;629;855;1484;705;2811;2189
57;646;910;1556;771;2673;2327
58;644;981;1625;837;2538;2462
59;662;1019;1681;916;2403;2597
60;683;1041;1724;1007;2269;2731
61;677;1080;1757;1109;2134;2866
62;672;1115;1787;1212;2001;2999
63;673;1139;1812;1323;1865;3135
64;663;1165;1828;1432;1740;3260
65;636;1171;1807;1560;1633;3367
66;626;1185;1811;1681;1508;3492
67;618;1181;1799;1818;1383;3617
68;592;1200;1792;1935;1273;3727
69;559;1212;1771;2048;1181;3819
70;544;1178;1722;2189;1089;3911
71;499;1165;1664;2327;1009;3991
72;443;1155;1598;2462;940;4060
73;412;1130;1542;2597;861;4139
74;377;1088;1465;2731;804;4196
75;327;1045;1372;2866;762;4238
76;291;992;1283;2999;718;4282
77;270;925;1195;3135;670;4330
78;223;879;1102;3260;638;4362
79;189;829;1018;3367;615;4385
80;174;746;920;3492;588;4412
81;155;665;820;3617;563;4437
82;134;603;737;3727;536;4464
83;115;543;658;3819;523;4477
84;110;474;584;3911;505;4495
85;101;421;522;3991;487;4513
86;91;377;468;4060;472;4528
87;72;325;397;4139;464;4536
88;66;281;347;4196;457;4543
89;53;257;310;4238;452;4548
90;38;231;269;4282;449;4551
91;26;198;224;4330;446;4554
92;22;174;196;4362;442;4558
93;19;158;177;4385;438;4562
94;17;136;153;4412;435;4565
95;17;114;131;4437;432;4568
96;17;90;107;4464;429;4571
97;19;81;100;4477;423;4577
98;18;67;85;4495;420;4580
99;16;52;68;4513;419;4581
100;16;40;56;4528;416;4584
101;13;35;48;4536;416;4584
102;8;34;42;4543;415;4585
103;6;32;38;4548;414;4586
104;6;30;36;4551;413;4587
105;4;30;34;4554;412;4588
106;4;26;30;4558;412;4588
107;4;23;27;4562;411;4589
108;5;21;26;4565;409;4591
109;4;19;23;4568;409;4591
110;4;17;21;4571;408;4592
111;5;11;16;4577;407;4593
112;4;9;13;4580;407;4593
113;2;10;12;4581;407;4593
114;2;7;9;4584;407;4593
115;1;8;9;4584;407;4593
116;0;8;8;4585;407;4593
117;1;7;8;4586;406;4594
118;1;6;7;4587;406;4594
119;1;5;6;4588;406;4594
120;1;5;6;4588;406;4594
121;1;4;5;4589;406;4594
122;0;3;3;4591;406;4594
