day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;3;10;13;0;4987;13
7;6;10;16;0;4984;16
8;8;10;18;0;4982;18
9;11;10;21;0;4979;21
10;17;10;27;0;4973;27
11;17;13;30;0;4970;30
12;18;16;34;0;4966;34
13;21;18;39;0;4961;39
14;25;11;36;10;4954;46
15;23;17;40;10;4950;50
16;23;20;43;10;4947;53
17;23;24;47;10;4943;57
18;27;29;56;10;4934;66
19;23;36;59;10;4931;69
20;29;37;66;13;4921;79
21;35;37;72;16;4912;88
22;40;39;79;18;4903;97
23;43;45;88;21;4891;109
24;55;42;97;27;4876;124
25;57;49;106;30;4864;136
26;57;54;111;34;4855;145
27;61;58;119;39;4842;158
28;74;63;137;46;4817;183
29;72;74;146;50;4804;196
30;79;83;162;53;4785;215
31;93;88;181;57;4762;238
32;104;92;196;66;4738;262
33;103;114;217;69;4714;286
34;121;117;238;79;4683;317
35;136;127;263;88;4649;351
36;139;141;280;97;4623;377
37;156;153;309;109;4582;418
38;162;162;324;124;4552;448
39;170;181;351;136;4513;487
40;181;206;387;145;4468;532
41;205;219;424;158;4418;582
42;227;235;462;183;4355;645
43;258;252;510;196;4294;706
44;279;272;551;215;4234;766
45;299;294;593;238;4169;831
46;321;320;641;262;4097;903
47;336;359;695;286;4019;981
48;357;389;746;317;3937;1063
49;373;415;788;351;3861;1139
50;390;454;844;377;3779;1221
51;406;485;891;418;3691;1309
52;416;533;949;448;3603;1397
53;461;576;1037;487;3476;1524
54;523;607;1130;532;3338;1662
55;554;639;1193;582;3225;1775
56;586;664;1250;645;3105;1895
57;621;691;1312;706;2982;2018
58;603;758;1361;766;2873;2127
59;588;831;1419;831;2750;2250
60;610;872;1482;903;2615;2385
61;618;914;1532;981;2487;2513
62;613;955;1568;1063;2369;2631
63;643;988;1631;1139;2230;2770
64;662;1029;1691;1221;2088;2912
65;633;1076;1709;1309;1982;3018
66;615;1116;1731;1397;1872;3128
67;595;1107;1702;1524;1774;3226
68;559;1108;1667;1662;1671;3329
69;521;1137;1658;1775;1567;3433
70;528;1123;1651;1895;1454;3546
71;514;1110;1624;2018;1358;3642
72;491;1099;1590;2127;1283;3717
73;476;1079;1555;2250;1195;3805
74;451;1048;1499;2385;1116;3884
75;430;1033;1463;2513;1024;3976
76;406;1011;1417;2631;952;4048
77;377;947;1324;2770;906;4094
78;337;893;1230;2912;858;4142
79;302;866;1168;3018;814;4186
80;253;848;1101;3128;771;4229
81;220;822;1042;3226;732;4268
82;206;765;971;3329;700;4300
83;194;709;903;3433;664;4336
84;173;640;813;3546;641;4359
85;149;587;736;3642;622;4378
86;121;551;672;3717;611;4389
87;105;495;600;3805;595;4405
88;89;452;541;3884;575;4425
89;79;383;462;3976;562;4438
90;69;330;399;4048;553;4447
91;63;295;358;4094;548;4452
92;59;263;322;4142;536;4464
93;48;239;287;4186;527;4473
94;41;209;250;4229;521;4479
95;36;179;215;4268;517;4483
96;36;152;188;4300;512;4488
97;31;128;159;4336;505;4495
98;25;114;139;4359;502;4498
99;21;101;122;4378;500;4500
100;18;94;112;4389;499;4501
101;16;83;99;4405;496;4504
102;10;70;80;4425;495;4505
103;8;60;68;4438;494;4506
104;7;53;60;4447;493;4507
105;8;49;57;4452;491;4509
106;7;40;47;4464;489;4511
107;6;32;38;4473;489;4511
108;6;27;33;4479;488;4512
109;6;24;30;4483;487;4513
110;4;21;25;4488;487;4513
111;2;16;18;4495;487;4513
112;3;13;16;4498;486;4514
113;2;12;14;4500;486;4514
114;1;12;13;4501;486;4514
115;1;9;10;4504;486;4514
116;1;8;9;4505;486;4514
117;0;8;8;4506;486;4514
118;1;7;8;4507;485;4515
119;1;5;6;4509;485;4515
120;2;3;5;4511;484;4516
121;2;3;5;4511;484;4516
122;2;2;4;4512;484;4516
