day;exposed;infectous;infected;recovered;susceptible;infected_cum
0;10;0;10;0;4990;10
1;10;0;10;0;4990;10
2;10;0;10;0;4990;10
3;10;0;10;0;4990;10
4;10;0;10;0;4990;10
5;0;10;10;0;4990;10
6;3;10;13;0;4987;13
7;7;10;17;0;4983;17
8;9;10;19;0;4981;19
9;9;10;19;0;4981;19
10;11;10;21;0;4979;21
11;10;13;23;0;4977;23
12;7;17;24;0;4976;24
13;11;19;30;0;4970;30
14;21;9;30;10;4960;40
15;20;11;31;10;4959;41
16;23;13;36;10;4954;46
17;25;14;39;10;4951;49
18;24;20;44;10;4946;54
19;15;30;45;10;4945;55
20;20;28;48;13;4939;61
21;21;29;50;17;4933;67
22;29;30;59;19;4922;78
23;35;35;70;19;4911;89
24;43;34;77;21;4902;98
25;43;38;81;23;4896;104
26;41;43;84;24;4892;108
27;48;48;96;30;4874;126
28;45;49;94;40;4866;134
29;44;57;101;41;4858;142
30;60;58;118;46;4836;164
31;77;59;136;49;4815;185
32;73;72;145;54;4801;199
33;78;79;157;55;4788;212
34;86;81;167;61;4772;228
35;79;97;176;67;4757;243
36;77;107;184;78;4738;262
37;93;110;203;89;4708;292
38;112;114;226;98;4676;324
39;127;124;251;104;4645;355
40;145;135;280;108;4612;388
41;155;136;291;126;4583;417
42;168;158;326;134;4540;460
43;177;182;359;142;4499;501
44;193;191;384;164;4452;548
45;206;203;409;185;4406;594
46;232;218;450;199;4351;649
47;241;248;489;212;4299;701
48;258;273;531;228;4241;759
49;266;305;571;243;4186;814
50;286;332;618;262;4120;880
51;301;357;658;292;4050;950
52;307;377;684;324;3992;1008
53;338;404;742;355;3903;1097
54;364;426;790;388;3822;1178
55;389;463;852;417;3731;1269
56;400;490;890;460;3650;1350
57;437;507;944;501;3555;1445
58;432;549;981;548;3471;1529
59;452;584;1036;594;3370;1630
60;471;620;1091;649;3260;1740
61;488;649;1137;701;3162;1838
62;501;686;1187;759;3054;1946
63;525;715;1240;814;2946;2054
64;523;750;1273;880;2847;2153
65;535;790;1325;950;2725;2275
66;539;830;1369;1008;2623;2377
67;534;849;1383;1097;2520;2480
68;542;876;1418;1178;2404;2596
69;569;884;1453;1269;2278;2722
70;552;925;1477;1350;2173;2827
71;549;932;1481;1445;2074;2926
72;553;951;1504;1529;1967;3033
73;540;966;1506;1630;1864;3136
74;497;982;1479;1740;1781;3219
75;491;989;1480;1838;1682;3318
76;468;980;1448;1946;1606;3394
77;446;979;1425;2054;1521;3479
78;419;983;1402;2153;1445;3555
79;418;944;1362;2275;1363;3637
80;398;941;1339;2377;1284;3716
81;394;914;1308;2480;1212;3788
82;367;883;1250;2596;1154;3846
83;339;833;1172;2722;1106;3894
84;313;810;1123;2827;1050;3950
85;283;790;1073;2926;1001;3999
86;254;755;1009;3033;958;4042
87;245;710;955;3136;909;4091
88;233;675;908;3219;873;4127
89;213;632;845;3318;837;4163
90;184;605;789;3394;817;4183
91;162;563;725;3479;796;4204
92;131;536;667;3555;778;4222
93;114;490;604;3637;759;4241
94;105;447;552;3716;732;4268
95;98;395;493;3788;719;4281
96;87;358;445;3846;709;4291
97;80;328;408;3894;698;4302
98;77;291;368;3950;682;4318
99;62;269;331;3999;670;4330
100;60;239;299;4042;659;4341
101;58;200;258;4091;651;4349
102;53;175;228;4127;645;4355
103;41;155;196;4163;641;4359
104;31;147;178;4183;639;4361
105;25;137;162;4204;634;4366
106;25;127;152;4222;626;4374
107;22;114;136;4241;623;4377
108;20;91;111;4268;621;4379
109;21;80;101;4281;618;4382
110;18;75;93;4291;616;4384
111;11;72;83;4302;615;4385
112;8;59;67;4318;615;4385
113;9;49;58;4330;612;4388
114;7;41;48;4341;611;4389
115;6;35;41;4349;610;4390
116;6;30;36;4355;609;4391
117;6;26;32;4359;609;4391
118;4;27;31;4361;608;4392
119;3;23;26;4366;608;4392
120;2;16;18;4374;608;4392
121;3;14;17;4377;606;4394
122;3;12;15;4379;606;4394
123;2;10;12;4382;606;4394
124;2;8;10;4384;606;4394
125;2;7;9;4385;606;4394
126;0;9;9;4385;606;4394
127;0;6;6;4388;606;4394
128;0;5;5;4389;606;4394
129;0;4;4;4390;606;4394
